0.058,-0.085,0.011
0.088,-0.112,-0.015
0.120,-0.147,-0.015
0.135,-0.160,-0.013
0.128,-0.138,-0.046
0.122,-0.117,-0.096
0.124,-0.096,-0.155
0.131,-0.088,-0.192
0.138,-0.093,-0.209
0.135,-0.101,-0.225
0.125,-0.111,-0.234
0.116,-0.125,-0.250
0.113,-0.128,-0.280
0.104,-0.127,-0.317
0.097,-0.133,-0.345
0.097,-0.140,-0.355
0.109,-0.136,-0.371
0.128,-0.135,-0.448
0.120,-0.128,-0.491
0.108,-0.138,-0.531
0.096,-0.147,-0.546
0.080,-0.134,-0.566
0.035,-0.115,-0.596
0.003,-0.103,-0.604
-0.032,-0.081,-0.605
-0.088,-0.053,-0.613
-0.133,-0.008,-0.607
-0.176,0.073,-0.594
-0.213,0.147,-0.574
-0.235,0.203,-0.561
-0.258,0.258,-0.555
-0.285,0.309,-0.565
-0.320,0.361,-0.589
-0.420,0.533,-0.487
-0.423,0.573,-0.398
-0.419,0.604,-0.311
-0.397,0.633,-0.246
-0.378,0.658,-0.212
-0.350,0.691,-0.188
-0.334,0.720,-0.151
-0.306,0.743,-0.122
-0.549,0.579,-0.098
-0.529,0.591,-0.078
-0.517,0.614,-0.073
-0.521,0.657,-0.064
-0.522,0.714,-0.036
-0.520,0.755,0.011
-0.502,0.776,0.044
-0.485,0.799,0.101
-0.442,0.777,0.149
-0.441,0.746,0.231
-0.421,0.729,0.278
-0.406,0.722,0.336
-0.397,0.721,0.389
-0.387,0.724,0.438
-0.372,0.722,0.496
-0.343,0.695,0.566
-0.293,0.654,0.648
-0.230,0.607,0.726
-0.151,0.559,0.804
-0.089,0.516,0.862
-0.070,0.481,0.882
-0.063,0.444,0.881
-0.068,0.398,0.866
-0.056,0.345,0.835
-0.017,0.276,0.831
0.017,0.193,0.821
0.115,0.001,0.850
0.142,-0.039,0.878
0.177,-0.064,0.905
0.187,-0.068,0.929
0.181,-0.074,0.952
0.115,-0.082,0.984
0.068,-0.137,0.837
0.183,-0.065,0.953
-0.074,-0.327,0.787
-0.063,-0.254,0.797
0.089,-0.239,0.882
0.079,-0.311,0.819
0.125,-0.307,0.816
0.165,-0.281,0.846
0.067,-0.341,0.771
0.030,-0.386,0.705
0.083,-0.491,0.429
0.138,-0.480,0.399
0.142,-0.506,0.337
0.189,-0.505,0.318
0.225,-0.491,0.312
0.215,-0.514,0.261
0.221,-0.533,0.211
0.231,-0.543,0.179
0.221,-0.556,0.134
0.232,-0.543,0.138
0.248,-0.519,0.137
-0.371,-0.439,0.116
-0.337,-0.481,0.093
-0.301,-0.523,0.026
-0.266,-0.543,-0.043
-0.245,-0.553,-0.108
-0.240,-0.571,-0.187
-0.182,-0.547,-0.276
-0.186,-0.515,-0.301
-0.170,-0.478,-0.288
-0.144,-0.441,-0.261
-0.140,-0.397,-0.247
-0.121,-0.356,-0.219
-0.101,-0.329,-0.222
-0.094,-0.299,-0.270
-0.091,-0.270,-0.348
-0.087,-0.246,-0.414
-0.064,-0.215,-0.461
-0.049,-0.180,-0.478
-0.049,-0.147,-0.478
-0.056,-0.111,-0.455
-0.053,-0.073,-0.418
-0.050,-0.033,-0.404
-0.021,0.036,-0.402
-0.006,0.059,-0.444
0.019,0.087,-0.478
0.064,0.108,-0.494
0.098,0.125,-0.504
0.124,0.139,-0.517
0.148,0.159,-0.511
0.159,0.194,-0.487
0.184,0.254,-0.460
0.205,0.320,-0.432
0.225,0.396,-0.421
0.240,0.463,-0.383

