0.140,0.029,-0.082
0.185,0.048,-0.095
0.202,0.067,-0.120
0.230,0.085,-0.146
0.261,0.118,-0.170
0.273,0.142,-0.213
0.298,0.165,-0.250
0.324,0.177,-0.270
0.325,0.170,-0.290
0.321,0.151,-0.300
0.311,0.104,-0.332
0.296,0.086,-0.363
0.286,0.047,-0.366
0.242,0.011,-0.405
0.223,-0.019,-0.421
0.190,-0.039,-0.459
0.164,-0.050,-0.503
0.145,-0.059,-0.549
0.115,-0.061,-0.604
0.081,-0.066,-0.669
0.069,-0.086,-0.700
0.058,-0.096,-0.727
0.031,-0.110,-0.776
-0.001,-0.126,-0.822
-0.056,-0.153,-0.844
-0.147,-0.194,-0.827
-0.264,-0.226,-0.836
-0.364,-0.230,-0.821
-0.493,-0.183,-0.843
-0.513,-0.175,-0.839
-0.515,-0.152,-0.783
-0.621,-0.147,-0.723
-0.751,-0.144,-0.576
-0.824,-0.147,-0.431
-0.872,-0.139,-0.277
-0.419,0.822,-0.108
-0.419,0.892,0.034
-0.406,0.942,0.157
-0.351,0.968,0.272
-0.278,0.989,0.398
-0.193,1.008,0.474
-0.103,0.988,0.559
-0.011,0.946,0.633
0.050,0.917,0.696
0.152,0.797,0.887
0.234,0.752,0.945
0.226,0.761,0.930
0.254,0.776,0.957
0.281,0.760,0.990
0.292,0.745,1.021
0.330,0.677,1.063
0.342,0.582,1.049
0.312,0.501,1.007
0.270,0.422,0.956
0.241,0.368,0.910
0.210,0.324,0.889
0.183,0.277,0.883
0.164,0.232,0.859
0.139,0.173,0.844
0.116,0.094,0.842
0.128,-0.006,0.861
-0.017,-0.035,0.818
-0.054,-0.121,0.825
0.309,-0.194,0.935
-0.165,-0.274,0.723
-0.160,-0.222,0.763
0.013,-0.300,0.787
-0.074,-0.360,0.705
-0.120,-0.440,0.631
-0.039,-0.533,0.599
-0.020,-0.523,0.629
-0.084,-0.487,0.654
0.001,-0.509,0.686
0.046,-0.527,0.668
0.057,-0.550,0.599
0.032,-0.581,0.489
-0.039,-0.597,0.381
-0.044,-0.601,0.322
0.051,-0.581,0.331
0.068,-0.588,0.323
0.050,-0.593,0.283
0.073,-0.605,0.259
0.091,-0.601,0.221
0.063,-0.601,0.172
0.092,-0.605,0.145
0.123,-0.624,0.087
0.156,-0.632,0.031
0.208,-0.636,-0.001
0.253,-0.630,-0.021
0.237,-0.605,-0.043
0.207,-0.594,-0.079
0.177,-0.590,-0.127
0.153,-0.580,-0.187
0.123,-0.571,-0.224
0.088,-0.513,-0.326
0.073,-0.487,-0.396
0.068,-0.469,-0.470
0.067,-0.448,-0.533
0.063,-0.414,-0.561
0.077,-0.380,-0.587
0.086,-0.351,-0.569
0.057,-0.315,-0.552
0.017,-0.269,-0.548
-0.020,-0.226,-0.536
-0.037,-0.168,-0.546
-0.038,-0.097,-0.587
-0.045,-0.028,-0.631
-0.034,0.054,-0.693
0.005,0.125,-0.690
0.028,0.195,-0.678
0.027,0.276,-0.691
-0.012,0.500,-0.639
-0.032,0.598,-0.624
-0.069,0.688,-0.595
-0.121,0.786,-0.577
-0.153,0.863,-0.565
-0.165,0.886,-0.518
-0.152,0.908,-0.488
-0.126,0.899,-0.436
-0.094,0.883,-0.386
-0.069,0.825,-0.301
-0.066,0.788,-0.257
-0.059,0.767,-0.255
-0.047,0.728,-0.205
-0.063,0.695,-0.152
-0.065,0.662,-0.109
-0.044,0.623,-0.082
