-0.034,0.061,0.686
-0.058,0.105,0.711
-0.084,0.100,0.690
-0.096,0.093,0.655
-0.098,0.100,0.634
-0.106,0.109,0.602
-0.116,0.095,0.558
-0.115,0.102,0.490
-0.098,0.066,0.437
-0.101,0.025,0.394
-0.108,-0.037,0.270
-0.125,-0.019,0.231
-0.153,-0.041,0.197
-0.167,-0.017,0.142
-0.171,0.015,0.079
-0.179,0.001,-0.004
-0.166,-0.027,-0.111
-0.139,-0.056,-0.192
-0.114,-0.088,-0.248
-0.073,-0.068,-0.314
-0.026,-0.055,-0.388
0.019,-0.078,-0.452
0.065,-0.106,-0.510
0.129,-0.178,-0.560
0.194,-0.274,-0.608
0.290,-0.337,-0.675
0.389,-0.356,-0.739
0.521,-0.365,-0.831
0.537,-0.348,-0.851
0.523,-0.305,-0.873
0.515,-0.240,-0.913
0.484,-0.212,-0.943
0.473,-0.176,-0.998
0.493,-0.119,-1.077
0.482,-0.112,-1.163
0.503,-0.104,-1.272
0.509,-0.071,-1.382
0.485,-0.018,-1.431
0.443,0.072,-1.468
0.361,0.172,-1.481
0.241,0.204,-1.461
0.152,0.257,-1.455
0.056,0.332,-1.429
-0.045,0.366,-1.394
-0.303,0.323,-1.323
-0.417,0.321,-1.272
-0.547,0.271,-1.159
-0.665,0.238,-1.019
-0.751,0.265,-0.853
-0.817,0.254,-0.612
-0.862,0.258,-0.350
-0.862,0.187,-0.056
-0.764,0.054,0.222
-0.637,-0.038,0.411
-0.438,-0.047,0.540
-0.350,-0.066,0.683
-0.219,-0.129,0.787
-0.045,-0.170,0.907
0.093,-0.123,1.018
0.204,-0.125,1.188
0.664,-0.201,1.863
0.768,-0.127,1.987
0.769,-0.066,2.048
0.711,-0.041,2.038
0.582,-0.013,1.961
0.418,0.013,1.870
0.263,0.026,1.777
0.159,0.031,1.693
0.116,0.032,1.651
0.099,0.024,1.620
0.066,0.022,1.585
0.025,-0.016,1.634
-0.044,-0.039,1.590
-0.183,-0.048,1.453
-0.381,-0.012,1.227
-0.479,-0.112,1.015
-0.579,-0.017,0.578
-0.600,-0.002,0.422
-0.594,0.036,0.312
-0.541,-0.037,0.324
-0.666,0.343,0.128
-0.576,-0.082,0.322
-0.639,-0.079,0.169
-0.734,0.098,-0.120
-0.665,-0.175,-0.283
-0.590,-0.216,-0.541
-0.476,-0.252,-0.792
-0.305,-0.396,-0.839
-0.191,-0.455,-0.832
-0.070,-0.478,-0.866
0.049,-0.583,-0.821
0.109,-0.709,-0.720
0.134,-0.804,-0.659
0.140,-0.837,-0.696
0.279,-0.835,-1.005
0.283,-0.797,-1.017
0.251,-0.791,-0.992
0.179,-0.763,-0.945
0.105,-0.682,-0.950
0.040,-0.583,-0.978
-0.017,-0.485,-1.017
-0.072,-0.389,-1.046
-0.120,-0.286,-1.057
-0.161,-0.198,-1.056
-0.168,-0.149,-1.031
-0.172,-0.103,-1.025
-0.159,-0.051,-1.052
-0.129,-0.052,-1.084
-0.077,-0.022,-1.146
0.044,0.081,-1.224
0.178,0.242,-1.250
0.398,0.560,-1.260
0.469,0.725,-1.197
0.515,0.838,-1.097
0.502,0.883,-0.998
0.519,0.904,-0.911
0.556,0.915,-0.818
0.579,0.947,-0.754
0.571,0.967,-0.649
0.557,0.950,-0.599
0.574,0.985,-0.535
0.567,1.052,-0.429
0.543,1.125,-0.267
0.539,1.155,-0.083
0.508,1.167,0.111
0.465,1.137,0.272
0.452,1.091,0.410
0.478,1.061,0.503

