0.074,0.165,0.047
0.084,0.184,0.033
0.101,0.181,0.021
0.139,0.173,0.016
0.112,0.241,0.032
0.090,0.184,0.052
0.057,0.146,0.073
0.037,0.147,0.108
0.009,0.099,0.112
0.009,0.093,0.113
0.003,0.059,0.115
-0.001,0.041,0.124
-0.005,0.033,0.121
-0.009,0.005,0.137
-0.012,0.008,0.138
-0.030,0.009,0.106
-0.052,0.015,0.057
-0.092,-0.005,0.020
-0.124,-0.047,0.007
-0.100,-0.180,0.024
-0.058,-0.284,0.061
-0.055,-0.320,0.132
-0.049,-0.526,0.359
0.034,-0.610,0.468
0.099,-0.605,0.635
0.196,-0.612,0.784
0.280,-0.586,0.921
0.440,-0.661,1.137
0.677,-0.738,1.351
0.953,-0.804,1.546
0.854,-0.723,1.803
0.805,-0.689,2.364
-0.094,-0.405,2.186
-1.024,-0.084,1.941
-1.973,0.342,1.388
-2.453,0.992,0.080
-1.883,1.189,-1.112
-0.741,1.027,-2.013
0.072,0.641,-2.166
0.603,0.047,-1.167
0.248,0.024,-0.658
0.061,0.223,-0.602
-0.245,0.222,-0.508
-0.244,0.394,-0.738
-0.147,0.418,-0.907
0.034,0.516,-1.108
0.192,0.444,-1.090
0.306,0.460,-1.089
0.295,0.311,-0.904
0.219,0.169,-0.704
0.150,0.031,-0.512
0.133,-0.036,-0.370
0.124,-0.068,-0.263
0.146,-0.077,-0.187
0.162,-0.069,-0.182
0.134,0.000,-0.274
0.098,0.004,-0.263
0.071,-0.016,-0.218
0.045,-0.024,-0.179
0.024,-0.018,-0.156
0.016,-0.008,-0.152
0.009,-0.008,-0.129
0.003,-0.022,-0.076
-0.022,-0.046,-0.024
-0.030,-0.062,0.001
-0.015,-0.043,0.001
-0.000,-0.016,-0.010
0.004,-0.000,-0.018
0.008,0.020,-0.039
0.004,0.017,-0.040
0.002,0.013,-0.042
0.002,0.003,-0.024
0.005,0.002,-0.009
0.001,0.012,-0.007
-0.003,0.017,-0.013
-0.008,0.025,-0.026
-0.006,0.023,-0.030
0.007,0.015,-0.020
0.002,0.002,0.001
0.003,0.003,0.009
0.003,0.002,0.035
-0.009,-0.000,0.054
-0.013,-0.024,0.096
0.010,-0.014,0.095
0.016,-0.000,0.047
0.026,0.038,-0.007
0.019,0.050,-0.029
0.018,0.046,-0.023
0.025,0.041,-0.024
0.019,0.036,-0.042
0.003,0.010,-0.035
-0.001,-0.007,-0.016
-0.001,-0.015,0.002
-0.000,-0.002,-0.006
0.000,-0.001,-0.013
-0.000,-0.002,-0.022
0.003,-0.001,-0.027
0.008,0.000,-0.033
0.004,0.001,-0.037
0.005,-0.003,-0.039
0.001,0.001,-0.035
-0.001,-0.001,-0.022
-0.002,-0.007,-0.005
0.003,-0.001,-0.008
0.011,0.014,-0.038
0.017,0.025,-0.057
0.026,0.025,-0.060
0.017,0.012,-0.045
0.003,0.000,-0.028
0.001,0.000,-0.018
-0.000,-0.001,-0.011
0.003,0.002,-0.006
-0.002,0.001,-0.003
-0.008,-0.003,-0.000
-0.003,-0.003,0.006
0.003,-0.001,-0.001
0.002,0.001,0.003
0.005,-0.001,0.004
-0.002,0.004,0.007
-0.000,0.002,0.002
0.001,0.001,-0.011
0.007,-0.002,-0.009
0.001,-0.004,-0.003
0.003,0.003,-0.013
0.004,0.008,-0.030
-0.001,0.009,-0.035
-0.004,0.003,-0.041
0.006,-0.002,-0.039

