0.023,-0.016,-0.010
0.002,0.006,-0.004
-0.005,0.062,0.009
-0.003,0.041,0.012
-0.004,-0.011,0.001
-0.000,-0.006,-0.002
-0.010,0.003,0.008
-0.006,-0.025,0.010
0.001,-0.025,0.005
0.003,-0.024,0.001
0.007,-0.012,-0.006
0.011,-0.015,-0.024
0.009,-0.010,-0.040
0.007,0.011,-0.048
0.007,0.030,-0.066
0.007,0.032,-0.107
-0.001,0.021,-0.108
-0.025,0.029,-0.096
-0.014,-0.024,-0.094
-0.049,0.059,-0.067
-0.049,0.053,-0.074
-0.082,0.100,-0.035
-0.085,0.050,-0.012
-0.090,0.053,0.024
-0.102,0.055,0.050
-0.083,0.000,0.088
-0.078,0.007,0.093
-0.099,0.036,0.160
-0.063,0.006,-0.012
-0.041,-0.010,0.011
-0.026,-0.012,0.012
-0.004,-0.065,-0.015
0.033,-0.143,-0.004
0.068,-0.213,0.018
0.129,-0.271,0.048
0.195,-0.320,0.077
0.264,-0.369,0.111
-0.098,-0.489,0.134
-0.103,-0.527,0.101
-0.143,-0.492,0.154
-0.182,-0.727,0.195
-0.298,-0.687,0.430
-0.414,-1.179,0.615
-0.607,-1.401,0.793
-0.978,-1.693,0.877
-1.456,-1.701,0.856
-1.915,-1.247,0.583
-2.278,-0.642,0.210
-2.298,0.242,-0.233
-1.863,1.167,-0.581
-1.340,1.639,-0.584
-0.918,1.826,-0.520
-0.402,1.931,-0.495
-0.020,1.869,-0.529
0.367,1.739,-0.587
0.798,1.510,-0.572
1.312,1.103,-0.474
1.649,0.611,-0.369
1.936,0.009,-0.164
1.911,-0.432,-0.033
1.775,-0.669,0.111
1.546,-0.704,0.154
1.249,-0.630,0.129
0.958,-0.497,0.016
0.952,-0.475,0.039
0.746,-0.377,-0.037
0.457,-0.152,0.098
0.292,-0.048,0.067
0.251,-0.017,0.065
0.134,0.030,0.022
0.143,0.011,0.041
0.079,0.042,0.017
0.062,0.046,0.025
0.018,0.064,0.034
0.010,0.053,0.044
0.005,0.025,0.046
0.008,-0.001,0.030
0.025,-0.031,0.025
0.003,-0.035,0.006
0.018,-0.052,0.008
0.011,-0.060,-0.007
0.040,-0.080,0.013
0.043,-0.075,0.015
0.010,-0.040,0.010
0.027,-0.032,0.033
-0.010,-0.001,0.019
0.000,-0.001,0.049
-0.000,0.001,0.061
0.001,0.006,0.070
-0.007,0.003,0.065
-0.000,0.001,0.057
-0.018,0.002,0.033
-0.005,-0.001,0.030
-0.038,0.020,0.014
-0.029,0.011,0.014
-0.032,0.006,0.004
-0.012,0.000,0.002
-0.001,0.001,-0.002
-0.030,0.029,-0.002
-0.005,-0.000,0.008
0.003,-0.001,0.018
-0.010,0.006,0.010
-0.007,0.004,0.005
-0.001,0.002,0.001
0.009,-0.006,0.000
-0.004,0.002,-0.005
-0.009,0.005,-0.008
-0.002,0.001,-0.005
-0.007,0.006,-0.007
-0.010,0.007,-0.011
-0.017,0.009,-0.020
-0.005,0.006,-0.012
-0.008,0.008,-0.008
-0.001,-0.003,-0.001
0.009,-0.005,0.011
0.019,-0.010,0.017
0.017,-0.012,0.011
0.015,-0.010,0.004
0.004,-0.001,0.001
-0.013,0.014,-0.005
-0.013,0.008,-0.015
-0.001,0.004,-0.017
0.008,-0.002,-0.013
-0.004,0.002,-0.010
-0.002,0.001,-0.007
-0.005,0.006,-0.001
-0.003,-0.002,0.011
-0.002,0.002,0.016
