-0.132,-0.125,0.111
-0.075,-0.083,0.139
-0.054,-0.069,0.171
-0.019,-0.045,0.176
0.021,-0.006,0.205
-0.006,0.039,0.209
-0.034,0.074,0.203
-0.038,0.092,0.197
-0.038,0.092,0.207
-0.034,0.098,0.213
-0.026,0.090,0.226
-0.014,0.060,0.248
-0.010,0.042,0.251
-0.011,0.036,0.246
-0.014,0.045,0.174
-0.012,0.043,0.160
-0.009,0.037,0.151
-0.005,0.021,0.142
-0.009,0.010,0.128
-0.013,0.007,0.109
-0.010,0.014,0.075
-0.008,0.026,0.042
-0.002,0.020,0.050
-0.000,0.015,0.032
0.009,-0.008,0.022
0.016,-0.019,0.011
0.025,-0.028,0.019
0.034,-0.044,0.037
0.036,-0.059,0.057
0.023,-0.088,0.127
-0.008,-0.082,0.199
-0.051,-0.084,0.203
-0.079,-0.019,0.114
-0.076,0.094,-0.009
-0.075,0.230,-0.113
-0.026,0.383,-0.267
0.089,0.536,-0.572
0.317,0.754,-0.997
0.551,0.968,-1.445
0.813,1.113,-1.940
0.873,1.150,-2.197
0.743,1.240,-2.340
0.466,1.218,-2.356
-0.004,1.100,-2.102
-0.471,1.037,-1.931
-0.861,1.028,-1.968
-1.322,0.787,-1.745
-1.723,0.569,-1.406
-1.905,-0.543,0.108
-1.484,-0.808,0.590
-1.023,-0.977,0.954
-0.435,-1.094,1.218
0.070,-1.099,1.294
0.448,-0.974,1.277
0.776,-0.790,1.301
1.174,-0.661,1.357
1.431,-0.547,1.305
1.408,-0.414,1.154
1.140,-0.308,1.025
0.798,-0.220,0.931
0.423,-0.139,0.806
0.134,-0.046,0.696
-0.053,0.034,0.622
-0.229,0.086,0.535
-0.285,0.105,0.364
-0.142,0.082,0.336
0.015,0.058,0.308
0.100,0.024,0.255
0.086,-0.030,0.179
0.034,-0.062,0.103
-0.028,-0.080,0.036
-0.053,-0.102,-0.021
-0.075,-0.084,-0.062
-0.084,-0.026,-0.072
-0.056,0.001,-0.060
-0.049,0.046,-0.058
-0.018,0.074,-0.032
-0.010,0.086,-0.033
-0.021,0.085,-0.044
-0.022,0.084,-0.044
-0.040,0.074,-0.062
-0.065,0.035,-0.091
-0.057,0.018,-0.096
-0.085,0.010,-0.121
-0.061,0.001,-0.108
-0.053,-0.005,-0.112
-0.001,-0.013,-0.091
0.015,-0.009,-0.077
0.021,-0.002,-0.060
0.019,-0.006,-0.057
0.003,-0.002,-0.056
-0.030,-0.016,-0.079
-0.015,-0.021,-0.068
-0.012,-0.012,-0.062
0.014,-0.006,-0.043
0.027,-0.003,-0.027
0.026,0.003,-0.015
0.011,0.004,-0.016
0.001,0.000,-0.012
-0.001,-0.002,-0.013
-0.008,-0.009,-0.020
-0.005,-0.009,-0.020
-0.010,-0.008,-0.019
-0.003,0.001,-0.009
-0.003,-0.000,0.007
-0.003,0.000,0.015
-0.001,0.002,0.019
-0.000,-0.000,0.017
0.008,0.000,0.028
0.004,-0.001,0.024
0.009,-0.006,0.025
0.002,-0.002,0.025
0.002,-0.003,0.023
-0.000,-0.008,0.015
0.000,0.003,0.011
-0.005,0.000,0.014
-0.002,-0.001,0.018
-0.007,-0.002,0.007
-0.004,-0.003,0.007
-0.001,-0.001,0.008
0.000,-0.003,0.017
0.013,0.002,0.021
0.005,-0.001,0.020
0.002,0.002,0.014
-0.001,0.003,0.015
-0.002,0.000,0.009
0.001,-0.003,-0.003
-0.004,0.014,-0.015

